Datetime,Close,Position
2018-06-01 10:00,714.6,0
2018-06-01 10:30,718.7,0
2018-06-01 11:00,719.4,0
2018-06-01 13:00,717.6,0
2018-06-01 13:30,709.8,0
2018-06-01 14:00,717.9,0
2018-06-01 14:30,717.5,0
2018-06-04 9:00,726.1,0
2018-06-04 9:30,726.9,1
2018-06-04 10:00,724.5,0
2018-06-04 10:30,728.7,-1
2018-06-04 11:00,730.7,1
2018-06-04 13:00,737.1,1
2018-06-04 13:30,734.9,1
2018-06-04 14:00,735.2,1
2018-06-04 14:30,734.8,0
2018-06-05 9:00,742.4,0
2018-06-05 9:30,740.8,0
2018-06-05 10:00,738.8,0
2018-06-05 10:30,738.5,0
2018-06-05 11:00,741.1,0
2018-06-05 13:00,739.1,0
2018-06-05 13:30,733.4,0
2018-06-05 14:00,739.3,1
2018-06-05 14:30,741.8,1
2018-06-06 9:00,741.7,1
2018-06-06 9:30,741.8,1
2018-06-06 10:00,744.5,1
2018-06-06 10:30,745.5,1
2018-06-06 11:00,744.7,1
2018-06-06 11:30,744.6,1
2018-06-06 13:00,748.2,1
2018-06-06 13:30,750.9,1
2018-06-06 14:00,761.9,1
2018-06-06 14:30,763.4,1
2018-06-07 9:00,765,1
2018-06-07 9:30,766.8,1
2018-06-07 10:00,766,0
2018-06-07 10:30,767.9,0
2018-06-07 11:00,760.8,0
2018-06-07 13:00,766.4,0
2018-06-07 13:30,768,0
